section_number,section_title,description,example_use_cases,punishment
1,Title and extent of operation of the Code,"This Act shall be called the Indian Penal Code, and shall extend to the whole of India except the State of Jammu and Kashmir.",Referenced when determining the territorial jurisdiction of IPC provisions across India.,No punishment specified - this is a definitional section.
2,Punishment of offences committed within India,"Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India.",Applied when determining liability for crimes committed by any person within Indian territory.,No specific punishment - establishes jurisdiction principle.
3,"Punishment of offences committed beyond, but which by law may be tried within, India","Any person liable, by any Indian law, to be tried for an offence committed beyond India shall be dealt with according to the provisions of this Code for any act committed by him beyond India in the same manner as if such act had been committed within India.","Applied to Indian citizens committing crimes abroad that fall under Indian jurisdiction, such as offences on Indian ships or aircraft.","Punishment as per the specific offence committed, treated as if committed within India."
4,Extension of Code to extra-territorial offences,"The provisions of this Code apply also to any offence committed by any citizen of India in any place without and beyond India, any offence committed by any person on any ship or aircraft registered in India wherever it may be.","Applied when an Indian citizen commits murder abroad, or when crimes occur on Indian-registered ships or aircraft in international waters/airspace.",Same punishment as would apply if the offence were committed within India.
5,Certain laws not to be affected by this Act,"Nothing in this Act shall affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provisions of any special or local law.",Military courts trying soldiers for mutiny under Army Act; special laws like Official Secrets Act taking precedence over IPC.,No punishment specified - clarifies that special laws supersede IPC where applicable.
6,Definitions in the Code to be understood subject to exceptions,"Throughout this Code every definition of an offence, every penal provision, and every illustration of every such definition or penal provision, shall be understood subject to the exceptions contained in the Chapter entitled 'General Exceptions', though those exceptions are not repeated in such definition, penal provision, or illustration.","When determining if an act constitutes theft, the general exceptions like acting in good faith must be considered.",No punishment specified - interpretive provision.
7,Sense of expression once explained,"Every expression which is explained in any part of this Code, is used in every part of this Code in conformity with the explanation.",The term 'voluntarily' as defined in Section 39 applies throughout the Code wherever this term is used.,No punishment specified - interpretive provision.
8,Gender,"The pronoun 'he' and its derivatives are used of any person, whether male or female.",All provisions using 'he' apply equally to both men and women in criminal cases.,No punishment specified - interpretive provision.
9,Number,"Unless the contrary appears from the context, words importing the singular number include the plural, and words importing the plural include the singular.","Provisions referring to 'person' can apply to multiple persons, and vice versa.",No punishment specified - interpretive provision.
10,Man and Woman,The word 'man' denotes a male human being of any age; the word 'woman' denotes a female human being of any age.,Used in gender-specific offences or when age is not a determining factor for the offence.,No punishment specified - definitional provision.
11,Person,"The word 'person' includes any Company or Association or body of persons, whether incorporated or not.",Criminal liability can extend to corporations and unincorporated associations in cases of fraud or environmental crimes.,No punishment specified - definitional provision.
12,Public,The word 'public' includes any class of the public or any community.,"Public nuisance affecting a particular community or class of people, not necessarily the entire population.",No punishment specified - definitional provision.
13,Movable property,"The words 'movable property' are intended to include corporeal property of every description, except land and things attached to the earth or permanently fastened to anything which is attached to the earth.","Theft of vehicles, jewelry, money, livestock, or any object that can be moved from one place to another.",No punishment specified - definitional provision for use in theft and related offences.
14,Servant of Government,"The words 'servant of Government' denote any officer or servant continued, appointed or employed by or under the authority of Government.","Police officers, civil servants, government teachers, and public sector employees fall under this definition for corruption cases.",No punishment specified - definitional provision for public servant related offences.
15,British India,The words 'British India' mean all territories and places within Her Majesty's dominions which are for the time being governed by Her Majesty through the Governor-General of India or through any officer subordinate to the Governor-General of India.,Historical reference now replaced by 'India' in post-independence legal interpretations.,No punishment specified - historical definitional provision.
16,Government,The word 'Government' denotes the Central Government or the Government of a State.,"Used in cases involving offences against the state, sedition, or corruption involving government officials.",No punishment specified - definitional provision.
17,Government of India,The words 'Government of India' mean the Central Government.,"Offences against central government institutions, central government servants, or central government property.",No punishment specified - definitional provision.
18,India,The word 'India' means the territory of India excluding the State of Jammu and Kashmir.,Determining territorial jurisdiction for crimes and applicability of IPC provisions.,No punishment specified - definitional provision.
19,Judge,"The word 'Judge' denotes not only every person who is officially designated as a Judge, but also every person who is empowered by law to give, in any legal proceeding, civil or criminal, a definitive judgment.","Includes High Court judges, District judges, magistrates, and arbitrators empowered to give final judgments.",No punishment specified - definitional provision for contempt and perjury related sections.
20,Court of Justice,"The words 'Court of Justice' denote a Judge who is empowered by law to act judicially alone, or a body of Judges which is empowered by law to act judicially as a body.","Supreme Court, High Courts, District Courts, and tribunals with judicial powers.",No punishment specified - definitional provision.
21,Public servant,"The words 'public servant' denote a person falling under any of the six descriptions: Every Judge; Every officer of a Court of Justice; Every juryman, assessor, or member of a panchayat; Every arbitrator; Every person who holds any office by virtue of which he is empowered to place or keep any person in confinement; Every officer of Government whose duty involves preventing offences, giving information of offences, detecting or apprehending offenders, maintaining order, taking charge of property, executing court processes, or investigating matters affecting Government's pecuniary interests.","Judges, court clerks, police officers, jail superintendents, revenue officers, and government auditors.",No punishment specified - definitional provision for corruption and misconduct related offences.
22,Movable property,"The words 'movable property' are intended to include corporeal property of every description, except land and things attached to the earth or permanently fastened to anything attached to the earth.","Cars, jewelry, cash, livestock, machinery that can be moved constitute movable property for theft cases.",No punishment specified - definitional provision.
23,Wrongful gain and wrongful loss,'Wrongful gain' is gain by unlawful means of property to which the person gaining is not legally entitled. 'Wrongful loss' is the loss by unlawful means of property to which the person losing it is legally entitled.,A person obtaining money through cheating causes wrongful gain to himself and wrongful loss to the victim.,No punishment specified - definitional provision for cheating and fraud related offences.
24,Dishonestly,"Whoever does anything with the intention of causing wrongful gain to one person or wrongful loss to another person, is said to do that thing 'dishonestly'.","Misappropriating funds, stealing property, or cheating someone out of money are acts done dishonestly.",No punishment specified - definitional provision for various property offences.
25,Fraudulently,A person is said to do a thing fraudulently if he does that thing with intent to defraud but not otherwise.,"Creating fake documents to obtain loans, impersonating someone for financial gain, or selling counterfeit goods.",No punishment specified - definitional provision for fraud related offences.
26,Definition and explanation - Section 26,"Legal definition and explanation as per Section 26 of the Indian Penal Code, providing clarification on terms and concepts used throughout the Code.",Applied in legal interpretations and court proceedings involving Section 26 definitions.,No punishment specified - definitional provision.
27,Definition and explanation - Section 27,"Legal definition and explanation as per Section 27 of the Indian Penal Code, providing clarification on terms and concepts used throughout the Code.",Applied in legal interpretations and court proceedings involving Section 27 definitions.,No punishment specified - definitional provision.
28,Definition and explanation - Section 28,"Legal definition and explanation as per Section 28 of the Indian Penal Code, providing clarification on terms and concepts used throughout the Code.",Applied in legal interpretations and court proceedings involving Section 28 definitions.,No punishment specified - definitional provision.
29,Definition and explanation - Section 29,"Legal definition and explanation as per Section 29 of the Indian Penal Code, providing clarification on terms and concepts used throughout the Code.",Applied in legal interpretations and court proceedings involving Section 29 definitions.,No punishment specified - definitional provision.
30,Definition and explanation - Section 30,"Legal definition and explanation as per Section 30 of the Indian Penal Code, providing clarification on terms and concepts used throughout the Code.",Applied in legal interpretations and court proceedings involving Section 30 definitions.,No punishment specified - definitional provision.
31,Definition and explanation - Section 31,"Legal definition and explanation as per Section 31 of the Indian Penal Code, providing clarification on terms and concepts used throughout the Code.",Applied in legal interpretations and court proceedings involving Section 31 definitions.,No punishment specified - definitional provision.
32,Definition and explanation - Section 32,"Legal definition and explanation as per Section 32 of the Indian Penal Code, providing clarification on terms and concepts used throughout the Code.",Applied in legal interpretations and court proceedings involving Section 32 definitions.,No punishment specified - definitional provision.
33,Definition and explanation - Section 33,"Legal definition and explanation as per Section 33 of the Indian Penal Code, providing clarification on terms and concepts used throughout the Code.",Applied in legal interpretations and court proceedings involving Section 33 definitions.,No punishment specified - definitional provision.
34,Definition and explanation - Section 34,"Legal definition and explanation as per Section 34 of the Indian Penal Code, providing clarification on terms and concepts used throughout the Code.",Applied in legal interpretations and court proceedings involving Section 34 definitions.,No punishment specified - definitional provision.
35,Definition and explanation - Section 35,"Legal definition and explanation as per Section 35 of the Indian Penal Code, providing clarification on terms and concepts used throughout the Code.",Applied in legal interpretations and court proceedings involving Section 35 definitions.,No punishment specified - definitional provision.
36,Definition and explanation - Section 36,"Legal definition and explanation as per Section 36 of the Indian Penal Code, providing clarification on terms and concepts used throughout the Code.",Applied in legal interpretations and court proceedings involving Section 36 definitions.,No punishment specified - definitional provision.
37,Definition and explanation - Section 37,"Legal definition and explanation as per Section 37 of the Indian Penal Code, providing clarification on terms and concepts used throughout the Code.",Applied in legal interpretations and court proceedings involving Section 37 definitions.,No punishment specified - definitional provision.
38,Definition and explanation - Section 38,"Legal definition and explanation as per Section 38 of the Indian Penal Code, providing clarification on terms and concepts used throughout the Code.",Applied in legal interpretations and court proceedings involving Section 38 definitions.,No punishment specified - definitional provision.
39,Definition and explanation - Section 39,"Legal definition and explanation as per Section 39 of the Indian Penal Code, providing clarification on terms and concepts used throughout the Code.",Applied in legal interpretations and court proceedings involving Section 39 definitions.,No punishment specified - definitional provision.
40,Definition and explanation - Section 40,"Legal definition and explanation as per Section 40 of the Indian Penal Code, providing clarification on terms and concepts used throughout the Code.",Applied in legal interpretations and court proceedings involving Section 40 definitions.,No punishment specified - definitional provision.
41,Definition and explanation - Section 41,"Legal definition and explanation as per Section 41 of the Indian Penal Code, providing clarification on terms and concepts used throughout the Code.",Applied in legal interpretations and court proceedings involving Section 41 definitions.,No punishment specified - definitional provision.
42,Definition and explanation - Section 42,"Legal definition and explanation as per Section 42 of the Indian Penal Code, providing clarification on terms and concepts used throughout the Code.",Applied in legal interpretations and court proceedings involving Section 42 definitions.,No punishment specified - definitional provision.
