"section_number","section_title","description","example_use_cases","punishment"
"1","Title and extent of operation of the Code","This section provides the title of the legislation, namely the Indian Penal Code, and states that it extends to the whole of India except the state of Jammu and Kashmir.","The Code is applicable in all states and union territories of India for crimes committed within their jurisdiction.","Not a penal section; it is a declaratory section defining the Code's applicability."
"2","Punishment of offences committed within India","Every person shall be liable to punishment under this Code for every act or omission contrary to the provisions thereof, of which he is guilty within India.","A foreign tourist committing theft in Delhi is subject to punishment under the IPC.","Punishment as prescribed for the specific offence committed."
"3","Punishment of offences committed beyond, but which by law may be tried within India","Any person who, beyond India, commits an offence targeting a computer resource located in India, can be tried and punished under the IPC.","A person located in a foreign country hacks into a server located in Mumbai.","Punishment as prescribed for the specific offence committed."
"4","Extension of Code to extra-territorial offences","The provisions of this Code apply to any offence committed by any citizen in any place without and beyond India, or by any person on any ship or aircraft registered in India.","An Indian citizen commits murder in the United States; they can be tried under the IPC in India.","Punishment as prescribed for the specific offence committed."
"5","Certain laws not to be affected by this Code","This Code does not affect any special or local law, or any special jurisdiction or power conferred, or any special form of procedure prescribed, by any other law.","A case under the Narcotic Drugs and Psychotropic Substances Act (NDPS Act) will be governed by that special law, not the general provisions of the IPC.","Not a penal section; it clarifies the application of special laws over the IPC."
"6","Definitions in the Code to be understood subject to exceptions","Every definition of an offence and every penal provision in this Code shall be understood subject to the exceptions contained in the Chapter entitled ""General Exceptions"".","The definition of murder is subject to exceptions like private defence. If a killing is done in self-defence, it is not murder.","Not a penal section; it is an interpretative clause."
"7","Sense of expression once explained","Every expression which is explained in any part of this Code is used in every part of this Code in conformity with the explanation.","The word ""voluntarily"" defined in Section 39 must be interpreted with that meaning wherever it appears in the Code.","Not a penal section; it is an interpretative clause."
"8","Gender","The pronoun ""he"" and its derivatives are used for any person, whether male or female.","A woman can be charged with and convicted of an offence that uses the word ""he"", such as theft or murder.","Not a penal section; it is an interpretative clause."
"9","Number","Unless the context indicates otherwise, words in the singular include the plural, and words in the plural include the singular.","The phrase ""the offender"" in a section can apply to one or multiple offenders.","Not a penal section; it is an interpretative clause."
"10","Man", """Woman"","The word ""man"" denotes a male human being of any age, and the word ""woman"" denotes a female human being of any age.","A 17-year-old male can be referred to as a ""man"" for the purposes of the IPC.","Not a penal section; it is a definition clause."
"11","Person","The word ""person"" includes any Company or Association or body of persons, whether incorporated or not.","A company can be prosecuted for an offence requiring a specific intent, like cheating or fraud.","Not a penal section; it is a definition clause."
"12","Public","The word ""public"" includes any class of the public or any community.","An act done in a housing society common area can be considered an act done ""in public"".","Not a penal section; it is a definition clause."
"13","Queen","[Repealed]","[Repealed]","[Repealed]"
"14","Servant of Government","The words ""servant of Government"" denote any officer or servant continued, appointed or employed in India by or under the authority of the Government.","A clerk in a government office, a public school teacher, or a police constable is a servant of the Government.","Not a penal section; it is a definition clause."
